Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,23.535601,23.635300,21.989300,22.030800,12.502825,0
2008-01-03,22.114000,22.317699,21.490499,21.577700,12.255054,0
2008-01-04,21.781401,21.968500,21.137100,21.324200,12.111085,5694095
2008-01-07,21.428101,21.993401,21.415600,21.719101,12.335369,0
2008-01-08,22.114000,22.525499,21.931101,22.051600,12.524208,0
2008-01-09,21.989300,22.018400,21.349100,21.860399,12.415619,0
2008-01-10,21.947701,22.446501,21.823000,22.155500,12.583222,0
2008-01-11,22.005899,22.259501,21.739901,21.798100,12.380237,0
2008-01-14,21.823000,22.238701,21.706600,22.018400,12.505348,0
2008-01-15,21.818800,21.823000,20.991600,21.074800,11.969443,0
2008-01-16,20.659100,20.866899,20.122900,20.700701,11.756972,0
2008-01-17,20.704800,20.950100,19.786200,19.836100,11.265920,0
2008-01-18,20.118700,20.783800,19.495199,19.906700,11.306014,0
2008-01-21,18.709600,19.453600,18.709600,19.204201,10.907032,0
2008-01-22,19.129400,20.156099,18.705400,19.204201,10.907032,0
2008-01-23,18.996401,19.033800,18.065300,18.767799,10.659178,0
2008-01-24,19.744600,20.372299,19.208401,20.205999,11.476004,0
2008-01-28,19.931700,20.472000,19.869301,20.409700,11.591695,0
2008-01-29,20.492800,20.654900,19.711399,19.952499,11.332029,0
2008-01-30,19.786200,19.948299,19.283199,19.948299,11.329645,0
2008-01-31,19.536800,19.715500,19.038000,19.424500,11.032151,0
2008-02-01,19.549200,19.698900,18.597300,19.358000,10.994382,0
2008-02-06,18.397800,18.830099,18.248199,18.830099,10.703886,0
2008-02-07,18.501801,18.788601,18.123501,18.514200,10.524307,0
2008-02-08,18.614000,18.830099,18.372900,18.377100,10.446380,0
2008-02-11,18.572399,19.179300,18.559900,19.121099,10.869298,0
2008-02-12,19.370501,20.197701,19.370501,19.744600,11.223721,0
2008-02-13,19.786200,20.438801,19.786200,20.285000,11.530916,0
2008-02-14,20.492800,20.534401,19.694700,19.790300,11.249701,0
2008-02-15,19.640699,19.952499,19.358000,19.910900,11.318259,0
2008-02-18,20.210199,20.492800,20.160299,20.368099,11.578147,3344189
2008-02-19,20.472000,20.530300,19.960800,20.035601,11.389142,0
2008-02-20,19.765400,20.492800,19.736300,20.447100,11.623055,0
2008-02-21,20.692400,20.783800,20.289200,20.372299,11.580537,0
2008-02-22,20.700701,20.866899,20.318300,20.866899,11.861687,0
2008-02-25,20.966700,21.365801,20.742201,21.299200,12.107427,0
2008-02-26,21.157900,22.197100,21.000000,22.134800,12.582420,13730398
2008-02-27,21.939400,22.695900,21.698299,22.421600,12.745443,0
2008-02-28,22.321800,22.591999,22.030800,22.579500,12.835206,0
2008-02-29,22.321800,22.404900,21.827200,21.947701,12.476066,0
2008-03-03,21.781401,22.591999,21.781401,22.479799,12.778541,0
2008-03-04,22.425699,22.641899,21.806400,22.014200,12.532728,0
2008-03-05,22.238701,22.650200,22.080700,22.625299,12.880634,0
2008-03-06,22.404900,22.554600,21.615200,21.615200,12.305569,0
2008-03-07,21.478001,21.573601,20.908501,21.241100,12.092604,0
2008-03-10,21.199499,21.303400,20.596800,20.858601,11.874849,0
2008-03-11,21.407301,21.976801,21.191200,21.843800,12.435719,0
2008-03-12,21.906099,22.122299,21.369900,21.573601,12.281895,0
2008-03-13,21.236900,21.985100,20.970900,21.735701,12.374185,0
2008-03-14,21.989300,22.030800,20.954201,21.486300,12.232198,0
2008-03-17,20.779600,20.987499,20.289200,20.783800,11.832265,0
2008-03-18,21.116400,21.424000,20.970900,21.386499,12.175381,0
2008-03-19,21.490499,21.669201,19.993999,20.139500,11.465460,0
2008-03-20,20.085501,20.447100,19.890100,20.222700,11.512831,0
2008-03-24,20.305799,20.779600,20.255899,20.326599,11.571980,0
2008-03-25,20.409700,21.261801,20.409700,21.116400,12.021609,0
2008-03-26,21.303400,21.411501,20.492800,20.742201,11.808578,0
2008-03-27,20.866899,20.987499,20.102100,20.326599,11.571980,0
2008-03-28,20.355700,20.430500,19.640699,19.969101,11.368451,0
2008-03-31,19.989901,20.301600,19.674000,20.285000,11.548298,0
2008-04-01,20.451300,20.792101,20.430500,20.700701,11.784956,0
2008-04-02,20.866899,21.573601,20.700701,21.116400,12.033133,0
2008-04-03,21.033199,21.295099,20.833700,21.195299,12.078091,0
2008-04-04,21.303400,21.303400,20.991600,21.178699,12.068640,0
2008-04-07,21.380301,21.847900,21.380301,21.598499,12.307863,0
2008-04-08,21.685801,21.941500,21.386499,21.579800,12.297204,0
2008-04-09,21.511200,21.760700,20.900200,21.137100,12.044931,0
2008-04-10,21.193300,21.611000,20.788000,21.417700,12.204838,0
2008-04-11,21.193300,21.324200,20.856600,21.012400,11.973871,0
2008-04-14,20.825399,20.981300,20.420099,20.582199,11.728726,0
2008-04-15,20.887699,20.956301,20.594700,20.700701,11.796256,0
2008-04-16,21.074800,21.791800,21.012400,21.542400,12.275901,0
2008-04-17,21.536200,22.440300,21.324200,22.290600,12.702254,0
2008-04-18,22.446501,22.789400,22.396601,22.477699,12.808868,0
2008-04-22,22.633600,22.695900,22.259501,22.427799,12.780437,0
2008-04-23,22.415300,22.540001,22.072399,22.134800,12.613475,0
2008-04-24,22.134800,22.695900,22.103600,22.527599,12.837309,5235004
2008-04-25,22.639799,23.070000,22.515100,23.070000,13.146390,0
2008-04-28,23.319401,23.381800,22.833099,22.833099,13.011399,0
2008-04-29,22.758301,22.758301,21.947701,22.165899,12.631187,0
2008-04-30,22.328100,24.098801,22.128500,23.818300,13.572813,0
2008-05-02,25.127600,25.875799,24.660000,25.252300,14.389972,0
2008-05-05,25.283501,25.464300,24.878201,25.127600,14.326407,0
2008-05-06,24.971800,24.971800,24.061399,24.373199,13.896300,0
2008-05-07,24.560200,24.610100,23.631201,24.005301,13.686537,11040003
2008-05-08,24.254700,24.504101,23.755899,23.942900,13.650960,0
2008-05-09,23.631201,23.980400,23.475300,23.818300,13.579913,0
2008-05-12,24.005301,24.223499,23.475300,24.161200,13.775424,0
2008-05-13,24.005301,24.223499,23.475300,24.161200,13.775424,4010974
2008-05-14,23.837000,24.005301,23.537701,23.556400,13.430602,0
2008-05-15,23.749701,23.843201,23.444099,23.780800,13.558539,0
2008-05-16,24.024000,24.223499,23.743401,23.886801,13.618979,0
